StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
AR22-P02_T4,5.521460917862246,6.555356891810665,5.95789865756748,0.011454834393412546,6.034771588434938,6.244166900663736
AR22-P18_T5,6.274762021241939,6.9975959829819265,6.183246046523837,5.869927008007305,7.107426089833909,6.71901315438526
AR22-P18_T6,6.246106765481563,6.5337888379333435,6.6377278099846695,5.771750439268742,7.2837238641702,6.756932389247553
AR22-P01_T2,5.793013608384144,6.150602768446279,5.998744190110602,4.330359196905795,6.658730662408152,6.333279628139691
BB17-P21_T1,4.6913478822291435,5.14166355650266,5.231701207768488,0.009245739830228956,5.611476036813347,5.231108616854587
BB17-P26_T1,4.820281565605037,5.147494476813453,5.456789989481301,4.641118068506684,5.746319465752567,5.313205979041787
BB17-P27_T1,5.147494476813453,5.883322388488279,6.0517809404664185,5.543072110357585,6.902350112182846,5.840641657373398
BB17-P15_T1,4.8283137373023015,5.308267697401205,5.269148706186785,4.939399340870692,5.350544023852597,5.384495062789089
BB17-P29_T1,5.231108616854587,5.8805329864007,6.132626074506989,5.189045445073592,6.401705317440527,5.840641657373398
BB17-P11_T1,4.941642422609304,5.8377304471659395,5.808474006907595,5.18781691400775,6.229214077258957,5.579729825986222
BB17-P10_T1,4.8283137373023015,4.941642422609304,5.365638643961921,4.496753532362734,5.3934228288831765,5.049856007249537
BB17-P23_T1,4.8283137373023015,5.926926025970411,5.609742903952396,5.348884529801194,6.409184233053525,5.579729825986222
BB17-P13_T1,4.8283137373023015,6.07993319509559,5.334038083621591,0.009040961425940996,5.672874142102975,5.69035945432406
BB17-P14_T1,5.049856007249537,5.793013608384144,5.633964887718279,5.327751078858396,7.096714867677983,5.579729825986222
BB17-P18_T1,5.147494476813453,5.793013608384144,5.940458321356287,5.492488270680896,6.385499548122819,5.7899601708972535
BB17-P17_T1,4.941642422609304,5.313205979041787,5.437028332957004,5.513065010989743,6.202554630377205,5.517452896464707
BB17-P24_T1,4.948759890378168,6.0063531596017325,5.703500194906914,5.414883269055819,6.350970146496783,5.69035945432406
BB17-P28_T1,5.049856007249537,5.926926025970411,5.508766689871699,5.179331545041181,5.758367284432442,5.583496308781699
BB17-P16_T1,5.308267697401205,5.7430031878094825,6.9582643759169684,5.68121090644522,7.497538724955968,5.840641657373398
BB17-P25_T1,5.313205979041787,5.924255797414532,5.895213479537277,5.839005275679034,6.602728482448208,5.8377304471659395
BB17-P19_T1,5.231108616854587,5.384495062789089,5.378100814842207,5.077319317581598,5.9124907141436704,5.521460917862246
BB17-P20_T1,5.313205979041787,5.793013608384144,5.473364841674382,4.751490335219929,6.326210170742895,5.8377304471659395
BB17-P22_T1,5.147494476813453,5.579729825986222,6.209897653046419,5.451688724338514,6.622991817568641,5.583496308781699
BB17-P12_T1,5.313205979041787,6.436150368369428,5.861797270733377,5.8047760851975045,7.036288027439004,6.003887067106539
BD08-P05_T1,4.852030263919617,5.863631175598097,1.8208711753471238,2.2686040866281054,5.544283820623507,5.629403554678294
BD08-P06_T1,4.844187086458591,5.075173815233827,1.5277553340378982,1.9152425783933376,5.144513961257315,5.342334251964811
BD08-P08_T1,5.003946305945459,5.910796644040527,4.958593123154978,2.6257500422785407,5.4803664336953,5.67418090094569
BD08-P02_T1,5.351858133476067,6.838405200847344,5.905282007620643,6.048998978180367,7.682077426396278,6.372465087889816
BD08-P03_T1,5.017279836814924,5.583496308781699,5.274311671103202,3.3216794693768366,5.795370956053989,5.5787846452762455
BD08-P07_T1,5.081404364984463,5.356586274672012,5.370372233604145,2.3293164060917704,5.753389816952591,5.70461442217937
BD08-P09_T1,5.198497031265826,6.2324480165505225,5.741150827849433,3.2975291261918875,5.8520240924755305,5.961005339623274
BD08-P10_T1,5.214935757608986,5.517452896464707,6.222068995632455,5.623545031374217,7.162963651492967,5.631211781821365
BD08-P01_T1,5.093750200806762,5.484796933490655,5.025525898859138,2.7007080733223163,5.911882032855927,5.560681631015528
BD08-P04_T1,5.093750200806762,5.934894195619588,5.7631118884334835,4.886918378014154,6.12319711626475,5.652489180268651
BD13-P07_T1,5.049856007249537,6.182084906716632,5.4377906364282085,5.496037405131752,6.990092723119763,6.078787719222312
BD13-P08_T1,4.948759890378168,6.148468295917647,5.54379702092046,5.457545354388013,6.256786363573322,5.69035945432406
BD13-P02_T1,5.049856007249537,6.302618975744905,6.146612834418342,5.735199127327881,7.275500469771158,5.6937321388027
BD13-P17_T1,4.948759890378168,5.793013608384144,5.4227357738349635,0.00773095435400087,5.813658297480884,5.634789603169249
BD13-P12_T2,5.231108616854587,6.042632833682381,5.56759394661675,5.243552304592366,5.718059449999116,5.793013608384144
BD13-P18_T2,4.941642422609304,5.793013608384144,5.311328989865798,5.100720769360036,5.722502843192203,5.69035945432406
BD13-P04_T1,5.384495062789089,6.530877627725885,5.968615660450499,5.843721045211451,6.782213188160208,6.115892125483034
BD13-P01_T1,5.231108616854587,6.212606095751519,5.50811097482825,4.676765058556161,5.888410570248344,5.8377304471659395
BML12-P09_T5,4.700480365792417,5.459585514144159,5.134263346723058,4.466886389417345,5.565451230182601,5.313205979041787
BML12-P04_T2,5.049856007249537,5.796057750765372,5.527511269479767,5.132434219031305,5.746038342914455,5.6937321388027
BML12-P03_T5,4.8283137373023015,5.389071729816501,5.2919319252088215,5.0694364700962335,5.817460828676126,5.318119993844216
BML12-P03_T6,4.8283137373023015,5.049856007249537,5.227246684124536,4.9128917057543005,5.80246644430735,5.231108616854587
BML12-P04_T1,5.14166355650266,5.7430031878094825,5.665576001500149,5.275346442135699,6.6675525625591865,5.793013608384144
BML12-P10_T4,4.8283137373023015,5.056245805348308,5.289720630683465,4.799987693612134,5.390148471700906,5.147494476813453
BML12-P06_T6,4.8283137373023015,5.049856007249537,5.323655006809824,4.99725471576148,5.65430131399261,5.147494476813453
BML12-P06_T5,4.8283137373023015,5.231108616854587,5.320806133835138,4.711975879879239,5.362635794697675,5.236441962829949
BML12-P10_T2,4.700480365792417,5.049856007249537,5.180832204752331,4.9213335097025315,6.153865444733607,5.147494476813453
BML12-P09_T1,4.8283137373023015,5.389071729816501,5.254161420097079,4.90524194822431,5.8139210458540775,5.389071729816501
BML12-P05_T4,5.231108616854587,5.521460917862246,5.961964187962861,0.011705265511898783,6.072842388912555,5.6937321388027
BML12-P05_T3,5.231108616854587,5.69035945432406,6.010927336006888,5.42688322174579,6.332109046890466,5.793013608384144
BML12-P08_T3,5.231108616854587,5.793013608384144,5.8405111284611655,5.647386273692915,6.987576261670215,5.840641657373398
BML12-P02_T3,5.236441962829949,5.883322388488279,5.907476904908567,5.833906232473413,6.871120184795237,5.746203190540153
BML12-P02_T4,5.236441962829949,5.638354669333745,5.870119240069337,5.789587734136966,6.89385638763185,5.638354669333745
