StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
KTHJ08-P02_T1,4.852030263919617,5.666426688112432,5.551486521045041
KTHJ08-P20_T3,4.867534450455582,5.313205979041787,5.124396094625826
KTHJ08-P05_T2,5.247024072160486,5.860786223465865,2.9481309545204972
KTHJ08-P03_T2,5.442417710521793,5.8377304471659395,5.663808805612231
KTHJ08-P16_T2,4.948759890378168,6.023447592961033,5.61111670255282
KTHJ08-P03_T1,5.4510384535657,5.978885764901122,5.707401742166194
KTHJ08-P09_T3,4.969813299576001,5.552959584921617,5.505256837176776
KTHJ08-P24_T3,5.081404364984463,6.003887067106539,5.728864285542873
KTHJ08-P01_T1,5.003946305945459,5.5134287461649825,5.539973293605472
KTHJ08-P21_T3,5.1298987149230735,5.517452896464707,5.385142086709756
KTHJ08-P16_T3,4.976733742420574,6.329720905522696,5.582250333906524
KTHJ08-P04_T1,5.0689042022202315,5.3981627015177525,5.417991497831906
KTHJ08-P12_T1,5.003946305945459,5.488937726156687,5.5486752564425235
KTHJ08-P07_T3,5.075173815233827,6.016157159698354,5.72140041988499
KTHJ08-P22_T1,4.990432586778736,5.424950017481403,5.386388131048177
KTHJ08-P20_T1,4.897839799950911,5.337538079701318,5.1142120614969535
KTHJ08-P06_T2,4.962844630259907,5.986452005284438,5.332201362470349
KTHJ08-P15_T1,5.123963979403259,6.115892125483034,5.758579836091322
LWB09-P01_T3,4.804021044733257,5.247024072160486,5.246493094196241
LWB09-P13_T3,4.8283137373023015,5.267858159063328,5.194617722383974
LWB09-P15_T3,5.0238805208462765,5.676753802268282,5.577152346530326
LWB09-P09_T3,5.0106352940962555,5.220355825078324,5.548119648530625
LWB09-P17_T2,5.0238805208462765,5.480638923341991,5.363913662680514
LWB09-P03_T3,5.44673737166631,5.921578419643816,6.179271948214038
LWB09-P10_T3,4.962844630259907,5.332718793265369,5.423984889866612
LWB09-P16_T2,5.0238805208462765,5.455321115357702,5.340345068289826
LWB09-P06_T3,5.225746673713202,5.8916442118257715,5.477209495097533
